Bcell1	GSM1937402
Bcell2	GSM1937423
Bcell3	GSM1937427
Bcell4	GSM1937454
CD4_1	GSM1937403
CD4_2	GSM1937406
CD4_3	GSM1937424
CD4_4	GSM1937428
CD4_5	GSM1937429
CD8_1	GSM1937404
CD8_2	GSM1937407
CD8_3	GSM1937425
CD8_4	GSM1937430
CD8_5	GSM1937431
CLP1	GSM1937408
CLP2	GSM1937409
CLP3	GSM1937432
CLP4	GSM1937438
CLP5	GSM1937455
CMP1	GSM1937379
CMP2	GSM1937380
CMP3	GSM1937391
CMP4	GSM1937392
CMP5	GSM1937410
CMP6	GSM1937411
CMP7	GSM1937446
CMP8	GSM1937447
Ery1	GSM1937412
Ery2	GSM1937413
Ery3	GSM1937414
Ery4	GSM1937433
Ery5	GSM1937434
Ery6	GSM1937435
Ery7	GSM1937439
Ery8	GSM1937440
GMP1	GSM1937381
GMP2	GSM1937382
GMP3	GSM1937393
GMP4	GSM1937394
GMP5	GSM1937415
GMP6	GSM1937448
GMP7	GSM1937449
HSC1	GSM1937376
HSC2	GSM1937387
HSC3	GSM1937388
HSC4	GSM1937416
HSC5	GSM1937417
HSC6	GSM1937441
HSC7	GSM1937442
LMPP1	GSM1937378
LMPP2	GSM1937390
LMPP3	GSM1937445
MEP1	GSM1937383
MEP2	GSM1937384
MEP3	GSM1937395
MEP4	GSM1937396
MEP5	GSM1937418
MEP6	GSM1937450
MEP7	GSM1937451
Mono1	GSM1937385
Mono2	GSM1937386
Mono3	GSM1937397
Mono4	GSM1937398
Mono5	GSM1937452
Mono6	GSM1937453
MPP1	GSM1937377
MPP2	GSM1937389
MPP3	GSM1937419
MPP4	GSM1937420
MPP5	GSM1937443
MPP6	GSM1937444
NK1	GSM1937405
NK2	GSM1937421
NK3	GSM1937422
NK4	GSM1937426
NK5	GSM1937436
NK6	GSM1937437
